Ref.,IFCA,Fed-RAC,StoCFL,FedSoft,BRI-CFL,FL+HC,CA-CFL,FeSEM,FlexCFL,"Generic CFL
",LSTM,SCFL,SR-FCA,CFL,HACCS,FedLab,WSCC
 [1] ,x,,,,,,,,,,,,,,,,
 [2],,x,,,,,,,,,,,,,,,
  [3],,,x,,,,,,,,,,,,,,
 [4],,,,x,,,,,,,,,,,,,
 [5],,,,,x,,,,,,,,,,,,
 [6],,,,,,x,,,,,,,,,,,
" [7]
 [11]",,,,,,,x,,,,,,,,,,
 [8],,,,,,,,x,,,,,,,,,
 [9],,,,,,,,,x,,,,,,,,
 [10],,,,,,,,,,x,,,,,,,
"(Luo, Y., Liu..,2021) [12]",,,,,,,,,,,x,,,,,,
 [13],,,,,,,,,,,,x,,,,,
" [17]
 [19]",,,,,,,,,,,,,x,,,,
" [21]
 [22]",,,,,,,,,,,,,,x, ,,
"(Joel et al.,2022)[16]",,,,,,,,,,,,,,,x,,
"Zhang et al.,(2021) [15]",,,,,,,,,,,,,,,,x,
"(Pu Tian et al.,2022)[18]",,,,,,,,,,,,,,,,,x
